x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.13,2021-06-04 13:00:00,ON,2021,6,4,13,25.3,,14.0,,29,,,,49,,97.89,,24.1,,,,23,,17,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.14,2021-06-04 14:00:00,ON,2021,6,4,14,26.7,,16.1,,31,,,,52,,97.86,,24.1,,,,22,,26,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.15,2021-06-04 15:00:00,ON,2021,6,4,15,26.6,,17.4,,32,,,,57,,97.83,,24.1,,,,23,,14,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.16,2021-06-04 16:00:00,ON,2021,6,4,16,26.3,,18.8,,33,,,,63,,97.81,,24.1,,,,17,,19,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.17,2021-06-04 17:00:00,ON,2021,6,4,17,26.7,,17.2,,32,,,,55,,97.78,,24.1,,,,19,,15,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.18,2021-06-04 18:00:00,ON,2021,6,4,18,25.6,,18.1,,32,,,,63,,97.74,,24.1,,,,19,,15,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.19,2021-06-04 19:00:00,ON,2021,6,4,19,24.3,,18.7,,31,,,,71,,97.74,,24.1,,,,18,,16,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.20,2021-06-04 20:00:00,ON,2021,6,4,20,22.8,,18.3,,29,,,,75,,97.75,,24.1,,,,20,,14,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.21,2021-06-04 21:00:00,ON,2021,6,4,21,21.6,,17.9,,28,,,,79,,97.8,,24.1,,,,19,,8,
-81.1511111111111,43.033055555555556,LONDON A,6144473,6144473.2021.6.4.22,2021-06-04 22:00:00,ON,2021,6,4,22,20.8,,16.4,,26,,,,76,,97.83,,24.1,,,,22,,11,
