x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.13,2021-06-07 13:00:00,ON,2021,6,7,13,32.3,,17.4,,38,,0,,41,,100.3,,,,,,20,,27,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.14,2021-06-07 14:00:00,ON,2021,6,7,14,32.0,,18.6,,38,,0,,45,,100.26,,,,,,20,,30,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.15,2021-06-07 15:00:00,ON,2021,6,7,15,32.2,,18.4,,39,,0,,44,,100.22,,,,,,21,,24,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.16,2021-06-07 16:00:00,ON,2021,6,7,16,31.0,,19.4,,38,,0,,50,,100.21,,,,,,21,,30,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.17,2021-06-07 17:00:00,ON,2021,6,7,17,29.8,,19.4,,37,,0,,54,,100.21,,,,,,21,,27,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.18,2021-06-07 18:00:00,ON,2021,6,7,18,29.8,,19.9,,37,,0,,55,,100.21,,,,,,22,,23,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.19,2021-06-07 19:00:00,ON,2021,6,7,19,28.8,,19.4,,36,,0,,57,,100.2,,,,,,21,,23,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.20,2021-06-07 20:00:00,ON,2021,6,7,20,28.0,,19.5,,35,,0,,60,,100.25,,,,,,21,,16,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.21,2021-06-07 21:00:00,ON,2021,6,7,21,27.3,,19.6,,35,,0,,63,,100.29,,,,,,22,,15,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.22,2021-06-07 22:00:00,ON,2021,6,7,22,26.6,,19.4,,34,,0,,65,,100.29,,,,,,22,,15,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.7.23,2021-06-07 23:00:00,ON,2021,6,7,23,25.9,,19.2,,33,,0,,67,,100.32,,,,,,21,,15,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.8.0,2021-06-08 00:00:00,ON,2021,6,8,0,25.0,,19.2,,32,,0,,70,,100.36,,,,,,26,,9,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.8.1,2021-06-08 01:00:00,ON,2021,6,8,1,23.5,,19.1,,30,,0,,76,,100.38,,,,,,26,,6,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2021.6.8.2,2021-06-08 02:00:00,ON,2021,6,8,2,22.9,,19.4,,30,,0,,80,,100.39,,,,,,23,,8,
