x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.6,2022-01-16 06:00:00,ON,2022,1,16,6,-6.6,,-9.0,,,,0,,83,,98.34,,3.2,,-13,,23,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.7,2022-01-16 07:00:00,ON,2022,1,16,7,-6.9,,-7.9,,,,0.8,,93,,98.31,,1.2,,-12,,23,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.8,2022-01-16 08:00:00,ON,2022,1,16,8,-6.9,,-8.0,,,,0.2,,92,,98.19,,3.6,,-12,,23,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.9,2022-01-16 09:00:00,ON,2022,1,16,9,-6.6,,-9.0,,,,0,,83,,98.15,,16.1,,-12,,25,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.10,2022-01-16 10:00:00,ON,2022,1,16,10,-7.2,,-9.9,,,,0,,81,,98.15,,16.1,,-12,,27,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.11,2022-01-16 11:00:00,ON,2022,1,16,11,-7.4,,-10.6,,,,0,,78,,98.15,,16.1,,-14,,26,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.12,2022-01-16 12:00:00,ON,2022,1,16,12,-7.4,,-10.3,,,,0,,80,,98.12,,16.1,,-14,,26,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.13,2022-01-16 13:00:00,ON,2022,1,16,13,-7.1,,-9.7,,,,0,,82,,98.08,,16.1,,-14,,28,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.14,2022-01-16 14:00:00,ON,2022,1,16,14,-6.9,,-9.8,,,,0,,80,,98.07,,16.1,,-13,,29,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.15,2022-01-16 15:00:00,ON,2022,1,16,15,-6.9,,-9.8,,,,0,,80,,98.05,,16.1,,-13,,29,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.16,2022-01-16 16:00:00,ON,2022,1,16,16,-6.7,,-9.5,,,,0,,81,,98.1,,16.1,,-12,,29,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.17,2022-01-16 17:00:00,ON,2022,1,16,17,-6.5,,-9.6,,,,0,,79,,98.17,,16.1,,-12,,30,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.18,2022-01-16 18:00:00,ON,2022,1,16,18,-6.5,,-9.6,,,,0,,79,,98.29,,16.1,,-10,,30,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.19,2022-01-16 19:00:00,ON,2022,1,16,19,-6.5,,-9.7,,,,0,,78,,98.38,,16.1,,-10,,30,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.20,2022-01-16 20:00:00,ON,2022,1,16,20,-6.5,,-10.0,,,,0,,77,,98.41,,16.1,,-11,,30,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.21,2022-01-16 21:00:00,ON,2022,1,16,21,-6.8,,-10.2,,,,0,,77,,98.45,,16.1,,-11,,34,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.22,2022-01-16 22:00:00,ON,2022,1,16,22,-7.2,,-10.6,,,,0,,77,,98.51,,16.1,,-10,,31,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.16.23,2022-01-16 23:00:00,ON,2022,1,16,23,-7.9,,-10.8,,,,0,,80,,98.51,,16.1,,-13,,28,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.0,2022-01-17 00:00:00,ON,2022,1,17,0,-8.4,,-11.0,,,,0,,82,,98.53,,16.1,,-13,,28,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.1,2022-01-17 01:00:00,ON,2022,1,17,1,-8.0,,-10.9,,,,0,,80,,98.54,,16.1,,-11,,29,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.2,2022-01-17 02:00:00,ON,2022,1,17,2,-8.0,,-10.9,,,,0,,80,,98.52,,16.1,,,,0,,0,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.3,2022-01-17 03:00:00,ON,2022,1,17,3,-9.0,,-10.7,,,,0,,87,,98.53,,16.1,,-11,,30,,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.4,2022-01-17 04:00:00,ON,2022,1,17,4,-7.7,,-11.0,,,,0,,78,,98.52,,16.1,,-10,,29,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.5,2022-01-17 05:00:00,ON,2022,1,17,5,-7.5,,-10.9,,,,0,,77,,98.51,,16.1,,-12,,32,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.6,2022-01-17 06:00:00,ON,2022,1,17,6,-8.1,,-11.8,,,,0,,75,,98.47,,16.1,,-11,,35,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.7,2022-01-17 07:00:00,ON,2022,1,17,7,-9.0,,-11.2,,,,0,,84,,98.44,,16.1,,,,0,,0,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.8,2022-01-17 08:00:00,ON,2022,1,17,8,-8.9,,-11.1,,,,0,,84,,98.48,,16.1,,,,0,,0,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.9,2022-01-17 09:00:00,ON,2022,1,17,9,-9.3,,-11.0,,,,0,,88,,98.43,,16.1,,,,0,,0,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.10,2022-01-17 10:00:00,ON,2022,1,17,10,-9.0,,-10.5,,,,0,,89,,98.46,,16.1,,-11,,25,,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.11,2022-01-17 11:00:00,ON,2022,1,17,11,-7.4,,-10.1,,,,0,,81,,98.44,,16.1,,-11,,22,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.12,2022-01-17 12:00:00,ON,2022,1,17,12,-6.4,,-9.8,,,,0,,77,,98.45,,16.1,,-11,,31,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.13,2022-01-17 13:00:00,ON,2022,1,17,13,-6.0,,-10.3,,,,0,,72,,98.41,,16.1,,-11,,30,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.14,2022-01-17 14:00:00,ON,2022,1,17,14,-5.6,,-10.1,,,,0,,71,,98.38,,16.1,,-10,,30,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.15,2022-01-17 15:00:00,ON,2022,1,17,15,-5.3,,-10.3,,,,0,,68,,98.39,,16.1,,-10,,33,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.16,2022-01-17 16:00:00,ON,2022,1,17,16,-5.4,,-10.4,,,,0,,68,,98.46,,16.1,,-10,,35,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.17,2022-01-17 17:00:00,ON,2022,1,17,17,-5.7,,-10.7,,,,0,,68,,98.49,,16.1,,-11,,35,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.18,2022-01-17 18:00:00,ON,2022,1,17,18,-6.5,,-11.1,,,,0,,70,,98.55,,16.1,,-11,,34,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.19,2022-01-17 19:00:00,ON,2022,1,17,19,-8.7,,-12.9,,,,0,,72,,98.65,,16.1,,-13,,34,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.20,2022-01-17 20:00:00,ON,2022,1,17,20,-10.4,,-14.0,,,,0,,75,,98.74,,16.1,,-15,,33,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.21,2022-01-17 21:00:00,ON,2022,1,17,21,-12.1,,-14.5,,,,0,,83,,98.83,,16.1,,-15,,,M,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.22,2022-01-17 22:00:00,ON,2022,1,17,22,-14.8,,-16.1,,,,0,,90,,98.89,,16.1,,-18,,,M,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.17.23,2022-01-17 23:00:00,ON,2022,1,17,23,-16.5,,-17.7,,,,0,,91,,98.88,,16.1,,-20,,34,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.0,2022-01-18 00:00:00,ON,2022,1,18,0,-18.4,,-19.7,,,,0,,90,,98.93,,16.1,,,,0,,0,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.1,2022-01-18 01:00:00,ON,2022,1,18,1,-20.9,,-22.2,,,,0,,90,,98.93,,16.1,,-24,,25,,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.2,2022-01-18 02:00:00,ON,2022,1,18,2,-22.8,,-24.9,,,,0,,83,,98.95,,16.1,,-27,,26,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.3,2022-01-18 03:00:00,ON,2022,1,18,3,-23.4,,-25.7,,,,0,,82,,98.98,,16.1,,-27,,,M,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.4,2022-01-18 04:00:00,ON,2022,1,18,4,-25.5,,-27.7,,,,0,,82,,98.95,,16.1,,-31,,29,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.5,2022-01-18 05:00:00,ON,2022,1,18,5,-25.4,,-27.8,,,,0,,81,,98.93,,16.1,,-30,,29,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.6,2022-01-18 06:00:00,ON,2022,1,18,6,-25.3,,-27.6,,,,0,,82,,98.9,,16.1,,-30,,30,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.7,2022-01-18 07:00:00,ON,2022,1,18,7,-23.0,,-25.0,,,,0,,84,,98.81,,16.1,,-28,,18,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.8,2022-01-18 08:00:00,ON,2022,1,18,8,-20.7,,-22.9,,,,0,,83,,98.74,,16.1,,-24,,,M,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.9,2022-01-18 09:00:00,ON,2022,1,18,9,-19.1,,-20.9,,,,0,,86,,98.62,,16.1,,-22,,30,,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.10,2022-01-18 10:00:00,ON,2022,1,18,10,-17.4,,-19.1,,,,0,,87,,98.52,,8.1,,-21,,28,,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.11,2022-01-18 11:00:00,ON,2022,1,18,11,-10.9,,-12.0,,,,0,,92,,98.33,,1,,-19,,7,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.12,2022-01-18 12:00:00,ON,2022,1,18,12,-9.1,,-10.0,,,,0.2,,93,,98.18,,1,,-16,,6,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.13,2022-01-18 13:00:00,ON,2022,1,18,13,-5.0,,-5.5,,,,0.5,,96,,97.89,,1.6,,-13,,9,,32,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.14,2022-01-18 14:00:00,ON,2022,1,18,14,-5.6,,-6.2,,,,0,,95,,97.64,,0.8,,-14,,8,,28,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.15,2022-01-18 15:00:00,ON,2022,1,18,15,-3.9,,-4.5,,,,1.2,,96,,97.46,,1,,-12,,11,,35,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.16,2022-01-18 16:00:00,ON,2022,1,18,16,-3.6,,-4.3,,,,1.2,,95,,97.36,,1.2,,-11,,11,,30,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.17,2022-01-18 17:00:00,ON,2022,1,18,17,-3.2,,-3.9,,,,0.8,,95,,97.27,,3.6,,-9,,10,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.18,2022-01-18 18:00:00,ON,2022,1,18,18,-3.1,,-3.5,,,,0.2,,97,,97.16,,0.2,,-8,,9,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.19,2022-01-18 19:00:00,ON,2022,1,18,19,-2.9,,-3.6,,,,0.8,,95,,97.16,,16.1,,-5,,3,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.20,2022-01-18 20:00:00,ON,2022,1,18,20,-2.9,,-3.3,,,,0.2,,97,,97.07,,16.1,,-5,,2,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.21,2022-01-18 21:00:00,ON,2022,1,18,21,-2.7,,-3.3,,,,0,,96,,97.05,,8.1,,-6,,36,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.22,2022-01-18 22:00:00,ON,2022,1,18,22,-6.5,,-8.2,,,,0,,88,,97.16,,4.8,,-11,,3,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.18.23,2022-01-18 23:00:00,ON,2022,1,18,23,-9.9,,-12.4,,,,0,,82,,97.33,,6.4,,-17,,34,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.0,2022-01-19 00:00:00,ON,2022,1,19,0,-12.2,,-15.4,,,,0,,77,,97.58,,16.1,,-21,,35,,21,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.1,2022-01-19 01:00:00,ON,2022,1,19,1,-14.1,,-17.4,,,,0,,77,,97.76,,6.4,,-23,,34,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.2,2022-01-19 02:00:00,ON,2022,1,19,2,-15.1,,-19.1,,,,0,,72,,97.91,,16.1,,-25,,33,,26,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.3,2022-01-19 03:00:00,ON,2022,1,19,3,-15.3,,-19.1,,,,0,,73,,98.1,,16.1,,-24,,33,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.4,2022-01-19 04:00:00,ON,2022,1,19,4,-15.2,,-18.7,,,,0,,75,,98.34,,8.1,,-25,,32,,24,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.5,2022-01-19 05:00:00,ON,2022,1,19,5,-15.8,,-19.9,,,,0,,71,,98.58,,11.3,,-27,,33,,28,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.6,2022-01-19 06:00:00,ON,2022,1,19,6,-17.5,,-21.7,,,,0,,70,,98.79,,9.7,,-29,,33,,28,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.7,2022-01-19 07:00:00,ON,2022,1,19,7,-18.3,,-22.4,,,,0,,71,,99.0,,16.1,,-29,,31,,24,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.8,2022-01-19 08:00:00,ON,2022,1,19,8,-18.7,,-23.1,,,,0,,69,,99.15,,16.1,,-29,,32,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.9,2022-01-19 09:00:00,ON,2022,1,19,9,-18.9,,-23.4,,,,0,,68,,99.29,,16.1,,-29,,33,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.10,2022-01-19 10:00:00,ON,2022,1,19,10,-18.7,,-23.5,,,,0,,67,,99.46,,16.1,,-29,,32,,21,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.11,2022-01-19 11:00:00,ON,2022,1,19,11,-18.1,,-22.7,,,,0,,68,,99.59,,16.1,,-27,,31,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.12,2022-01-19 12:00:00,ON,2022,1,19,12,-18.2,,-23.2,,,,0,,65,,99.68,,16.1,,-29,,31,,24,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.13,2022-01-19 13:00:00,ON,2022,1,19,13,-17.9,,-22.8,,,,0,,66,,99.71,,16.1,,-28,,31,,21,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.14,2022-01-19 14:00:00,ON,2022,1,19,14,-18.1,,-23.6,,,,0,,63,,99.79,,16.1,,-28,,31,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.15,2022-01-19 15:00:00,ON,2022,1,19,15,-16.5,,-22.1,,,,0,,62,,99.82,,16.1,,-27,,31,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.16,2022-01-19 16:00:00,ON,2022,1,19,16,-16.6,,-22.3,,,,0,,62,,99.94,,4.8,,-27,,30,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.17,2022-01-19 17:00:00,ON,2022,1,19,17,-17.7,,-23.3,,,,0,,62,,100.08,,16.1,,-29,,31,,28,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.18,2022-01-19 18:00:00,ON,2022,1,19,18,-19.4,,-24.3,,,,0,,66,,100.24,,16.1,,-29,,30,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.19,2022-01-19 19:00:00,ON,2022,1,19,19,-20.6,,-25.6,,,,0,,65,,100.36,,16.1,,-30,,29,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.20,2022-01-19 20:00:00,ON,2022,1,19,20,-21.2,,-26.6,,,,0,,63,,100.47,,16.1,,-32,,29,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.21,2022-01-19 21:00:00,ON,2022,1,19,21,-22.1,,-27.3,,,,0,,64,,100.56,,16.1,,-32,,30,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.22,2022-01-19 22:00:00,ON,2022,1,19,22,-22.6,,-27.7,,,,0,,64,,100.65,,16.1,,-33,,30,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2022.1.19.23,2022-01-19 23:00:00,ON,2022,1,19,23,-23.2,,-27.9,,,,0,,66,,100.72,,16.1,,-35,,30,,21,
