x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.11,2021-06-08 11:00:00,ON,2021,6,8,11,21.6,,20.6,,30,,0.8,,94,,100.46,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.12,2021-06-08 12:00:00,ON,2021,6,8,12,23.3,,21.5,,32,,0.6,,90,,100.39,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.13,2021-06-08 13:00:00,ON,2021,6,8,13,25.2,,21.0,,34,,0,,78,,100.34,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.14,2021-06-08 14:00:00,ON,2021,6,8,14,25.8,,21.7,,35,,0,,78,,100.3,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.15,2021-06-08 15:00:00,ON,2021,6,8,15,25.7,,20.8,,34,,0,,75,,100.25,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.16,2021-06-08 16:00:00,ON,2021,6,8,16,24.3,,20.7,,32,,0,,80,,100.23,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.17,2021-06-08 17:00:00,ON,2021,6,8,17,24.1,,20.7,,32,,0,,81,,100.27,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.18,2021-06-08 18:00:00,ON,2021,6,8,18,23.1,,20.7,,31,,0,,86,,100.25,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.19,2021-06-08 19:00:00,ON,2021,6,8,19,23.5,,20.3,,31,,0,,82,,100.21,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.20,2021-06-08 20:00:00,ON,2021,6,8,20,20.6,,19.2,,28,,0,,92,,100.23,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.21,2021-06-08 21:00:00,ON,2021,6,8,21,21.5,,20.3,,29,,0,,93,,100.27,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.22,2021-06-08 22:00:00,ON,2021,6,8,22,22.0,,20.7,,30,,0,,93,,100.3,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.8.23,2021-06-08 23:00:00,ON,2021,6,8,23,21.6,,19.4,,29,,0,,87,,100.31,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.9.0,2021-06-09 00:00:00,ON,2021,6,9,0,20.7,,19.4,,28,,0,,92,,100.33,,,,,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2021.6.9.1,2021-06-09 01:00:00,ON,2021,6,9,1,21.2,,20.0,,29,,0,,93,,100.33,,,,,,,,,
