\\Yearly HOEP OR Predispatch Report,,,,,,,,
\\Created at 2022-06-15 08:02:13,,,,,,,,
\\For 2022,,,,,,,,
Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2022-01-01,1,32.18,27.75,27.73,32.41,1.19,0.20,0.20
2022-01-01,2,59.04,23.23,28.62,32.41,1.30,0.20,0.20
2022-01-01,3,18.79,17.00,14.36,29.13,1.21,0.20,0.20
2022-01-01,4,15.78,18.00,17.20,14.39,1.22,0.20,0.20
2022-01-01,5,0.41,12.99,12.99,29.51,1.23,0.20,0.20
2022-01-01,6,14.34,14.38,14.36,14.38,1.24,0.20,0.20
2022-01-01,7,5.61,14.34,14.34,22.51,1.22,0.20,0.20
2022-01-01,8,14.29,29.52,29.52,24.39,1.21,0.20,0.20
2022-01-01,9,2.20,14.37,14.38,32.71,1.24,0.20,0.20
2022-01-01,10,14.35,25.11,30.65,32.03,1.21,0.20,0.20
2022-01-01,11,22.93,14.40,32.70,32.03,1.11,0.20,0.20
2022-01-01,12,33.49,32.70,32.03,34.16,1.05,0.20,0.20
2022-01-01,13,32.78,34.16,34.16,14.40,1.21,0.20,0.20
2022-01-01,14,15.73,30.65,30.65,30.68,1.21,0.20,0.20
2022-01-01,15,14.37,20.00,26.34,27.52,1.00,0.20,0.20
2022-01-01,16,12.98,30.65,29.95,34.16,1.27,0.20,0.20
2022-01-01,17,27.56,34.16,34.16,34.16,1.28,0.20,0.20
2022-01-01,18,33.39,34.16,34.16,34.16,1.29,0.20,0.20
2022-01-01,19,26.43,34.16,34.16,34.16,1.29,0.20,0.20
2022-01-01,20,32.87,34.08,34.16,34.16,1.28,0.20,0.20
2022-01-01,21,22.87,31.85,31.85,34.16,1.00,0.20,0.20
2022-01-01,22,10.86,27.39,25.00,14.40,1.20,0.20,0.20
2022-01-01,23,13.06,14.40,21.68,33.13,1.23,0.20,0.20
2022-01-01,24,15.16,22.35,21.00,14.38,1.24,0.20,0.20
2022-01-02,1,14.45,16.53,17.00,5.00,1.24,0.20,0.20
2022-01-02,2,14.26,10.45,10.44,6.39,1.24,0.20,0.20
2022-01-02,3,10.40,20.02,15.00,10.31,1.23,0.20,0.20
2022-01-02,4,10.41,21.21,21.21,10.36,1.24,0.20,0.20
2022-01-02,5,10.38,16.81,16.73,10.37,1.25,0.20,0.20
2022-01-02,6,10.40,25.32,27.55,10.42,1.24,0.20,0.20
2022-01-02,7,4.81,31.21,30.78,21.21,1.25,0.20,0.20
2022-01-02,8,1.21,34.16,34.16,34.34,1.25,0.20,0.20
2022-01-02,9,10.45,34.49,36.83,36.83,0.94,0.20,0.20
2022-01-02,10,16.07,34.33,34.49,36.65,0.90,0.20,0.20
2022-01-02,11,30.50,36.83,36.64,36.84,0.55,0.20,0.20
2022-01-02,12,25.48,34.69,34.70,37.76,0.94,0.20,0.20
2022-01-02,13,30.65,34.60,34.61,36.22,0.29,0.20,0.20
2022-01-02,14,35.43,36.83,36.83,36.85,0.48,0.20,0.20
2022-01-02,15,36.42,36.86,36.86,37.63,0.22,0.20,0.20
2022-01-02,16,35.16,37.65,37.16,37.78,0.60,0.20,0.20
2022-01-02,17,36.51,37.82,37.97,38.07,0.20,0.20,0.20
2022-01-02,18,38.13,38.08,38.08,38.08,0.20,0.20,0.20
2022-01-02,19,38.03,38.08,38.08,38.08,0.20,0.20,0.20
2022-01-02,20,38.08,39.74,38.68,38.08,0.20,0.20,0.20
2022-01-02,21,38.02,38.08,38.08,38.08,0.20,0.20,0.20
2022-01-02,22,38.01,37.57,37.91,37.97,0.20,0.20,0.20
2022-01-02,23,36.65,38.07,35.37,37.53,0.20,0.20,0.20
2022-01-02,24,33.01,34.68,34.69,34.75,0.20,0.19,0.19
2022-01-03,1,36.63,34.16,34.16,37.98,1.07,0.17,0.16
2022-01-03,2,36.55,34.16,34.16,39.09,1.08,0.17,0.15
2022-01-03,3,34.43,34.16,34.16,34.16,1.00,0.17,0.12
2022-01-03,4,34.50,34.16,34.16,34.49,0.20,0.17,0.10
2022-01-03,5,33.50,34.16,34.16,34.52,0.23,0.17,0.10
2022-01-03,6,33.99,34.57,34.57,37.98,0.23,0.17,0.10
2022-01-03,7,35.55,38.09,38.09,39.08,0.18,0.18,0.13
2022-01-03,8,37.90,38.09,38.09,39.07,0.42,0.42,0.41
2022-01-03,9,37.02,37.20,37.98,39.09,0.28,0.28,0.26
2022-01-03,10,37.68,37.22,36.91,38.09,0.24,0.24,0.24
