Date,Hour,HOEP,Hour 1 Predispatch,Hour 2 Predispatch,Hour 3 Predispatch,OR 10 Min Sync,OR 10 Min non-sync,OR 30 Min
2018-01-01,1,51.29,40.62,35.5,40.32,0.2,0.2,0.19
2018-01-01,2,43.59,40.93,40.57,30.22,0.2,0.2,0.2
2018-01-01,3,93.6,49.84,45.3,40.2,0.25,0.25,0.22
2018-01-01,4,54.78,55.6,40.04,45.3,0.2,0.2,0.2
2018-01-01,5,14.35,40.04,34.8,47.47,0.2,0.2,0.2
2018-01-01,6,18.6,45.32,45.3,40.04,0.2,0.2,0.2
2018-01-01,7,21.72,41.66,38.8,38.98,0.2,0.2,0.2
2018-01-01,8,40.89,54.11,50.2,40.04,0.2,0.2,0.2
2018-01-01,9,20.75,70.13,62.73,40.04,0.2,0.2,0.2
2018-01-01,10,74.57,89.07,85.5,40.04,6.74,6.74,2.11
2018-01-01,11,4.65,34.0,60.0,26.36,0.21,0.21,0.21
2018-01-01,12,9.45,75.13,75.14,26.36,0.2,0.2,0.2
2018-01-01,13,13.65,26.36,42.13,26.36,0.21,0.21,0.21
2018-01-01,14,14.37,41.43,42.12,38.08,0.22,0.22,0.22
2018-01-01,15,26.73,14.41,27.28,26.36,0.21,0.21,0.2
2018-01-01,16,42.12,42.16,42.21,42.13,0.25,0.25,0.16
2018-01-01,17,42.28,44.7,43.87,43.69,2.99,2.99,0.16
2018-01-01,18,44.84,49.28,50.0,49.09,20.92,20.92,0.16
2018-01-01,19,42.22,45.12,45.79,49.28,16.78,16.78,0.15
2018-01-01,20,41.06,42.88,43.72,44.29,9.69,9.69,0.16
2018-01-01,21,43.76,43.87,44.28,44.57,1.52,1.52,0.16
2018-01-01,22,48.38,43.72,44.12,42.42,3.45,3.45,0.21
2018-01-01,23,42.58,40.9,40.91,42.14,0.2,0.2,0.19
2018-01-01,24,38.14,40.04,40.04,40.04,0.2,0.2,0.2
2018-01-02,1,31.12,42.69,45.32,40.04,0.2,0.2,0.18
2018-01-02,2,10.76,14.38,26.36,39.47,0.2,0.2,0.15
2018-01-02,3,14.34,14.35,14.4,14.37,0.2,0.2,0.15
2018-01-02,4,0.29,14.23,14.31,14.32,0.2,0.2,0.19
2018-01-02,5,1.43,39.0,34.6,14.37,0.2,0.2,0.18
2018-01-02,6,14.36,49.52,49.56,50.0,0.2,0.2,0.2
2018-01-02,7,19.1,69.14,69.16,86.55,0.2,0.2,0.16
2018-01-02,8,34.9,89.07,132.8,50.0,0.4,0.4,0.16
2018-01-02,9,43.72,62.3,44.55,50.86,19.44,19.44,0.33
2018-01-02,10,46.03,37.62,49.46,43.84,16.42,16.42,0.6
