x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.0,2018-01-01 00:00:00,ON,2018,1,1,0,-23.3,,-27.3,,,,0,,70,,101.95,,,,-32,,29,,11,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.1,2018-01-01 01:00:00,ON,2018,1,1,1,-23.1,,-26.9,,,,0,,71,,101.95,,,,-29,,28,,6,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.2,2018-01-01 02:00:00,ON,2018,1,1,2,-23.9,,-27.6,,,,0,,71,,101.95,,,,-30,,27,,6,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.3,2018-01-01 03:00:00,ON,2018,1,1,3,-24.2,,-27.7,,,,0,,73,,101.96,,,,-32,,26,,9,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.4,2018-01-01 04:00:00,ON,2018,1,1,4,-24.9,,-28.2,,,,0,,74,,101.96,,,,-33,,27,,10,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.5,2018-01-01 05:00:00,ON,2018,1,1,5,-25.6,,-28.5,,,,0,,77,,101.91,,,,-33,,28,,9,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.6,2018-01-01 06:00:00,ON,2018,1,1,6,-27.2,,-30.1,,,,0,,77,,101.91,,,,-29,,28,,2,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.7,2018-01-01 07:00:00,ON,2018,1,1,7,-27.5,,-29.7,,,,0,,82,,101.93,,,,-33,,23,,5,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.8,2018-01-01 08:00:00,ON,2018,1,1,8,-26.7,,-29.0,,,,0,,81,,101.97,,,,-33,,27,,7,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.9,2018-01-01 09:00:00,ON,2018,1,1,9,-25.4,,-28.6,,,,0,,74,,101.98,,,,-35,,27,,14,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.10,2018-01-01 10:00:00,ON,2018,1,1,10,-24.4,,-27.9,,,,0,,73,,102.01,,,,-34,,26,,13,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.11,2018-01-01 11:00:00,ON,2018,1,1,11,-22.2,,-27.7,,,,0,,61,,101.96,,,,-26,,25,,4,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.12,2018-01-01 12:00:00,ON,2018,1,1,12,-20.5,,-27.4,,,,0,,54,,101.87,,,,-26,,27,,7,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.13,2018-01-01 13:00:00,ON,2018,1,1,13,-19.6,,-26.6,,,,0,,54,,101.76,,,,-23,,18,,4,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.14,2018-01-01 14:00:00,ON,2018,1,1,14,-18.8,,-25.9,,,,0,,54,,101.69,,,,-22,,17,,4,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.15,2018-01-01 15:00:00,ON,2018,1,1,15,-18.6,,-25.5,,,,0,,54,,101.65,,,,-22,,18,,4,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.16,2018-01-01 16:00:00,ON,2018,1,1,16,-19.6,,-24.8,,,,0,,63,,101.63,,,,-25,,17,,7,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.17,2018-01-01 17:00:00,ON,2018,1,1,17,-19.7,,-23.7,,,,0,,71,,101.61,,,,-21,,10,,2,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.18,2018-01-01 18:00:00,ON,2018,1,1,18,-19.8,,-24.4,,,,0,,67,,101.64,,,,-22,,13,,3,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.19,2018-01-01 19:00:00,ON,2018,1,1,19,-20.2,,-23.6,,,,0,,74,,101.65,,,,-21,,21,,1,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.20,2018-01-01 20:00:00,ON,2018,1,1,20,-20.8,,-23.5,,,,0,,79,,101.64,,,,,,0,,0,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.21,2018-01-01 21:00:00,ON,2018,1,1,21,-20.8,,-22.9,,,,0,,84,,101.66,,,,-25,,36,,5,
-75.71666666666667,45.38333333333333,OTTAWA CDA RCS,6105978,6105978.2018.1.1.22,2018-01-01 22:00:00,ON,2018,1,1,22,-22.6,,-24.8,,,,0,,82,,101.7,,,,-24,,0,,1,
