x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.10,2020-11-25 10:00:00,ON,2020,11,25,10,1.0,,-0.8,,,,0,,88,,98.87,,16.1,,,,22,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.11,2020-11-25 11:00:00,ON,2020,11,25,11,1.1,,-0.2,,,,0,,91,,98.94,,16.1,,,,22,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.12,2020-11-25 12:00:00,ON,2020,11,25,12,1.7,,-0.1,,,,0,,88,,98.95,,16.1,,,,25,,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.13,2020-11-25 13:00:00,ON,2020,11,25,13,2.0,,-1.5,,,,0,,78,,98.9,,16.1,,,,22,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.14,2020-11-25 14:00:00,ON,2020,11,25,14,2.1,,-1.8,,,,0,,75,,98.86,,16.1,,,,25,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.15,2020-11-25 15:00:00,ON,2020,11,25,15,2.3,,-1.4,,,,0,,77,,98.81,,16.1,,,,,M,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.16,2020-11-25 16:00:00,ON,2020,11,25,16,2.1,,-1.8,,,,0,,76,,98.78,,16.1,,,,,M,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.17,2020-11-25 17:00:00,ON,2020,11,25,17,1.2,,-1.7,,,,0,,81,,98.78,,16.1,,,,18,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.18,2020-11-25 18:00:00,ON,2020,11,25,18,1.3,,-1.2,,,,0,,83,,98.78,,16.1,,,,20,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.19,2020-11-25 19:00:00,ON,2020,11,25,19,1.2,,-1.4,,,,0,,83,,98.79,,16.1,,,,24,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.20,2020-11-25 20:00:00,ON,2020,11,25,20,1.0,,-1.4,,,,0,,84,,98.81,,16.1,,,,23,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.21,2020-11-25 21:00:00,ON,2020,11,25,21,1.0,,-1.4,,,,0,,84,,98.77,,16.1,,,,24,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.22,2020-11-25 22:00:00,ON,2020,11,25,22,1.0,,-1.2,,,,0,,85,,98.76,,16.1,,,,24,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.25.23,2020-11-25 23:00:00,ON,2020,11,25,23,1.5,,-0.8,,,,0,,85,,98.7,,16.1,,,,20,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.0,2020-11-26 00:00:00,ON,2020,11,26,0,1.7,,-0.7,,,,0,,84,,98.66,,16.1,,,,23,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.1,2020-11-26 01:00:00,ON,2020,11,26,1,1.0,,-0.2,,,,0,,92,,98.66,,16.1,,,,21,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.2,2020-11-26 02:00:00,ON,2020,11,26,2,0.8,,0.0,,,,0,,94,,98.58,,16.1,,,,,M,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.3,2020-11-26 03:00:00,ON,2020,11,26,3,1.2,,-0.8,,,,0,,87,,98.57,,16.1,,,,24,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.4,2020-11-26 04:00:00,ON,2020,11,26,4,0.7,,-0.6,,,,0,,91,,98.52,,16.1,,,,23,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.5,2020-11-26 05:00:00,ON,2020,11,26,5,0.5,,-0.1,,,,0,,96,,98.45,,6.4,,,,23,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.6,2020-11-26 06:00:00,ON,2020,11,26,6,0.1,,-0.3,,,,0,,97,,98.41,,16.1,,,,29,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.7,2020-11-26 07:00:00,ON,2020,11,26,7,0.3,,-1.1,,,,0,,91,,98.34,,16.1,,,,21,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.8,2020-11-26 08:00:00,ON,2020,11,26,8,0.0,,-0.8,,,,0,,94,,98.3,,4.8,,-3,,24,,9,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.9,2020-11-26 09:00:00,ON,2020,11,26,9,0.1,,-1.4,,,,0,,90,,98.3,,16.1,,,,23,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.10,2020-11-26 10:00:00,ON,2020,11,26,10,0.2,,-2.4,,,,0,,83,,98.3,,16.1,,,,26,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.11,2020-11-26 11:00:00,ON,2020,11,26,11,0.7,,-2.4,,,,0,,80,,98.32,,16.1,,,,27,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.12,2020-11-26 12:00:00,ON,2020,11,26,12,1.3,,-2.3,,,,0,,77,,98.27,,16.1,,,,24,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.13,2020-11-26 13:00:00,ON,2020,11,26,13,2.0,,-2.0,,,,0,,75,,98.27,,16.1,,,,25,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.14,2020-11-26 14:00:00,ON,2020,11,26,14,2.4,,-2.3,,,,0,,71,,98.27,,16.1,,,,26,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.15,2020-11-26 15:00:00,ON,2020,11,26,15,2.8,,-2.5,,,,0,,68,,98.3,,16.1,,,,26,,24,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.16,2020-11-26 16:00:00,ON,2020,11,26,16,2.4,,-2.5,,,,0,,70,,98.39,,16.1,,,,27,,26,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.17,2020-11-26 17:00:00,ON,2020,11,26,17,1.8,,-2.5,,,,0,,73,,98.49,,16.1,,,,27,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.18,2020-11-26 18:00:00,ON,2020,11,26,18,1.8,,-2.7,,,,0,,72,,98.59,,16.1,,,,28,,24,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.19,2020-11-26 19:00:00,ON,2020,11,26,19,1.7,,-3.6,,,,0,,68,,98.67,,16.1,,,,27,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.20,2020-11-26 20:00:00,ON,2020,11,26,20,1.6,,-3.7,,,,0,,68,,98.75,,16.1,,,,27,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.21,2020-11-26 21:00:00,ON,2020,11,26,21,1.4,,-3.7,,,,0,,69,,98.82,,16.1,,,,27,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.22,2020-11-26 22:00:00,ON,2020,11,26,22,0.6,,-3.3,,,,0,,75,,98.86,,16.1,,,,25,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.26.23,2020-11-26 23:00:00,ON,2020,11,26,23,0.9,,-4.1,,,,0,,69,,98.92,,16.1,,,,24,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.0,2020-11-27 00:00:00,ON,2020,11,27,0,0.6,,-5.1,,,,0,,66,,98.96,,16.1,,,,26,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.1,2020-11-27 01:00:00,ON,2020,11,27,1,0.0,,-5.4,,,,0,,67,,98.99,,16.1,,-5,,24,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.2,2020-11-27 02:00:00,ON,2020,11,27,2,-1.2,,-6.0,,,,0,,70,,98.92,,16.1,,-3,,23,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.3,2020-11-27 03:00:00,ON,2020,11,27,3,-2.3,,-6.0,,,,0,,76,,98.89,,16.1,,-4,,18,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.4,2020-11-27 04:00:00,ON,2020,11,27,4,-2.8,,-5.8,,,,0,,80,,98.88,,16.1,,-5,,18,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.5,2020-11-27 05:00:00,ON,2020,11,27,5,-1.6,,-5.1,,,,0,,77,,98.86,,16.1,,-5,,25,,8,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.6,2020-11-27 06:00:00,ON,2020,11,27,6,-1.5,,-3.9,,,,0,,84,,98.81,,16.1,,-3,,33,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.7,2020-11-27 07:00:00,ON,2020,11,27,7,-1.6,,-2.9,,,,0,,91,,98.79,,3.2,,-3,,34,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.8,2020-11-27 08:00:00,ON,2020,11,27,8,-1.7,,-1.8,,,,0.2,,99,,98.8,,2.8,,-4,,29,,5,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.9,2020-11-27 09:00:00,ON,2020,11,27,9,-1.6,,-1.7,,,,0,,99,,98.81,,2.8,,-3,,27,,4,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.10,2020-11-27 10:00:00,ON,2020,11,27,10,-3.5,,-3.5,,,,0.2,,100,,98.85,,9.7,,-8,,23,,11,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.11,2020-11-27 11:00:00,ON,2020,11,27,11,-0.1,,-2.6,,,,0,,84,,98.88,,16.1,,-5,,28,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.12,2020-11-27 12:00:00,ON,2020,11,27,12,0.7,,-3.4,,,,0,,74,,98.86,,16.1,,,,28,,22,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.13,2020-11-27 13:00:00,ON,2020,11,27,13,0.9,,-5.0,,,,0,,65,,98.87,,16.1,,,,28,,24,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.14,2020-11-27 14:00:00,ON,2020,11,27,14,0.5,,-4.4,,,,0,,70,,98.89,,16.1,,,,27,,18,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.15,2020-11-27 15:00:00,ON,2020,11,27,15,0.5,,-5.1,,,,0,,66,,98.88,,16.1,,,,25,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.16,2020-11-27 16:00:00,ON,2020,11,27,16,0.3,,-5.9,,,,0,,63,,98.93,,16.1,,,,29,,21,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.17,2020-11-27 17:00:00,ON,2020,11,27,17,-0.1,,-4.9,,,,0,,70,,98.95,,16.1,,-5,,27,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.18,2020-11-27 18:00:00,ON,2020,11,27,18,-1.0,,-5.8,,,,0,,70,,98.99,,16.1,,-6,,26,,15,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.19,2020-11-27 19:00:00,ON,2020,11,27,19,-1.7,,-5.9,,,,0,,73,,98.97,,16.1,,-6,,26,,13,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.20,2020-11-27 20:00:00,ON,2020,11,27,20,-1.7,,-5.7,,,,0,,74,,98.92,,16.1,,-7,,25,,17,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2020.11.27.21,2020-11-27 21:00:00,ON,2020,11,27,21,-2.1,,-6.5,,,,0,,72,,98.87,,16.1,,-7,,25,,15,
