x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,LOCAL_HOUR,TEMP,TEMP_FLAG,DEW_POINT_TEMP,DEW_POINT_TEMP_FLAG,HUMIDEX,HUMIDEX_FLAG,PRECIP_AMOUNT,PRECIP_AMOUNT_FLAG,RELATIVE_HUMIDITY,RELATIVE_HUMIDITY_FLAG,STATION_PRESSURE,STATION_PRESSURE_FLAG,VISIBILITY,VISIBILITY_FLAG,WINDCHILL,WINDCHILL_FLAG,WIND_DIRECTION,WIND_DIRECTION_FLAG,WIND_SPEED,WIND_SPEED_FLAG
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.3,2021-06-05 03:00:00,ON,2021,6,5,3,15.6,,13.6,,,,0,,88,,99.93,,16.1,,,,0,,0,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.4,2021-06-05 04:00:00,ON,2021,6,5,4,16.1,,13.1,,,,0,,82,,99.93,,16.1,,,,19,,5,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.5,2021-06-05 05:00:00,ON,2021,6,5,5,15.1,,12.5,,,,0,,84,,99.96,,16.1,,,,25,,5,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.6,2021-06-05 06:00:00,ON,2021,6,5,6,17.4,,12.8,,,,0,,74,,100.05,,16.1,,,,25,,15,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.7,2021-06-05 07:00:00,ON,2021,6,5,7,21.3,,13.3,,,,0,,60,,100.1,,16.1,,,,27,,13,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.8,2021-06-05 08:00:00,ON,2021,6,5,8,26.0,,13.6,,29,,0,,46,,100.08,,16.1,,,,27,,28,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.9,2021-06-05 09:00:00,ON,2021,6,5,9,28.0,,13.8,,31,,0,,41,,100.09,,16.1,,,,27,,26,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.10,2021-06-05 10:00:00,ON,2021,6,5,10,27.5,,13.9,,31,,0,,43,,100.1,,16.1,,,,26,,30,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.11,2021-06-05 11:00:00,ON,2021,6,5,11,27.3,,14.5,,31,,0,,45,,100.11,,16.1,,,,25,,28,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.12,2021-06-05 12:00:00,ON,2021,6,5,12,28.6,,14.4,,32,,0,,41,,100.11,,16.1,,,,27,,35,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.13,2021-06-05 13:00:00,ON,2021,6,5,13,25.0,,13.5,,28,,0,,48,,100.1,,16.1,,,,21,,17,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.14,2021-06-05 14:00:00,ON,2021,6,5,14,21.6,,12.6,,,,0,,56,,100.07,,16.1,,,,20,,13,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.15,2021-06-05 15:00:00,ON,2021,6,5,15,20.8,,12.7,,,,0,,60,,100.06,,16.1,,,,21,,11,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.16,2021-06-05 16:00:00,ON,2021,6,5,16,19.3,,13.1,,,,0,,67,,100.08,,16.1,,,,21,,9,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.17,2021-06-05 17:00:00,ON,2021,6,5,17,20.4,,13.2,,,,0,,63,,100.09,,16.1,,,,21,,28,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.18,2021-06-05 18:00:00,ON,2021,6,5,18,19.4,,13.1,,,,0,,67,,100.12,,16.1,,,,21,,32,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.19,2021-06-05 19:00:00,ON,2021,6,5,19,16.4,,12.2,,,,0,,76,,100.17,,16.1,,,,26,,15,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.20,2021-06-05 20:00:00,ON,2021,6,5,20,16.0,,11.6,,,,0,,75,,100.24,,16.1,,,,25,,13,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.21,2021-06-05 21:00:00,ON,2021,6,5,21,17.1,,12.1,,,,0,,72,,100.3,,16.1,,,,28,,8,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.22,2021-06-05 22:00:00,ON,2021,6,5,22,16.8,,12.0,,,,0,,73,,100.3,,16.1,,,,26,,15,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.5.23,2021-06-05 23:00:00,ON,2021,6,5,23,17.0,,12.4,,,,0,,74,,100.33,,16.1,,,,27,,11,
-79.39611111111111,43.6275,TORONTO CITY CENTRE,6158359,6158359.2021.6.6.0,2021-06-06 00:00:00,ON,2021,6,6,0,15.4,,12.2,,,,0,,81,,100.36,,16.1,,,,26,,8,
